TS,TJ
24129505,23997395
24288789,24123605
23975851,23827648
23530065,23457827
24520937,24371316
23958604,23778657
24522992,24322990
24123301,23952720
24201543,24068578
23585177,23458134
24679206,24470675
24622099,24461285
23522497,23426188
24343737,24182558
23884117,23725402
23333938,23224959
24977341,24842010
23681774,23585435
23907838,23841663
24698559,24612791
25275541,25069741
26731537,26502616
23821640,23681708
24702777,24496986
25159404,25009701
25898014,25673798
23770876,23607328
23992397,23848269
23969162,23817743
23858335,23777588
24387909,24224466
24055935,23937195
25723071,25505781
23760986,23677320
23964365,23814101
24353648,24175884
25073132,24877123
23890872,23753891
27675797,27337272
24108962,23968934
24743967,24600258
23863328,23709686
27127735,26822327
24707243,24569421
23612144,23485575
24682177,24608627
23751734,23662547
24167167,24029093
25780359,25531457
23368010,23294780
23833517,23649003
23691137,23592341
24655812,24507582
23337309,23264586
25414603,25188051
24842158,24682280
24393987,24246092
23880580,23736584
24795077,24608236
30557643,30483736
24398987,24225643
26676402,26428708
24348267,24196468
24677561,24509942
23654970,23514244
24031478,23851716
24731035,24562081
23086964,22995859
25469138,25245152
27165254,27093925
25303885,25100089
24736170,24574178
33632539,33404449
24859558,24715246
25273774,25095360
24258411,24184352
24916268,24697073
27074962,26763564
25333229,25119941
23446493,23359742
25776916,25548562
23423034,23350601
24574814,24399208
24186917,24001122
24255595,24185869
25682311,25446250
24573955,24409110
24723824,24579565
24042553,23966446
24269413,24096993
23715022,23645769
24629109,24492886
24554042,24391743
25384108,25180714
24517710,24360465
24880584,24706838
23441597,23352122
23460420,23324005
23964867,23817001
26042334,25780107
24996237,24859805
23971704,23832502
24798144,24640767
25184483,24919846
24007035,23863294
24019873,23890747
23932804,23793751
24088953,23915638
24993028,24849756
23831860,23749217
24005732,23911535
24485829,24341768
27113350,26953848
23496567,23346701
23918528,23826097
24390404,24203376
24332340,24193076
26579828,26275162
24661189,24525009
23904560,23765709
24323782,24178030
25837645,25594847
24402533,24228247
23833091,23753096
25144120,24983109
24528290,24342126
23605103,23532343
24858215,24720693
25606303,25368692
24451713,24305194
23978281,23840869
24833269,24586333
23933673,23793624
23807579,23732831
23850920,23702674
27358561,27193754
23875942,23725279
23882534,23747876
25271142,25052851
24452958,24312166
24312256,24148202
23731749,23654887
24069982,23983226
24083780,23941762
23710530,23636037
24072628,23909163
24361604,24181300
24413336,24259174
27336630,27185995
23762432,23671770
25236314,25035840
24425524,24271924
26361011,24847637
24289694,24185875
23985773,23913257
25121608,24938123
